Week,GlutenFree,Vegan,DairyFree,Kosher,GMO
5/1/16,30,41,3,8,7
5/8/16,30,40,4,7,6
5/15/16,30,43,3,8,8
5/22/16,30,44,4,8,6
5/29/16,31,45,4,8,5
6/5/16,31,43,4,8,5
6/12/16,31,43,4,7,4
6/19/16,31,43,4,9,4
6/26/16,34,43,4,9,5
7/3/16,34,43,4,9,5
7/10/16,32,42,4,8,5
7/17/16,32,40,4,9,4
7/24/16,33,42,4,9,5
7/31/16,33,42,4,9,5
8/7/16,32,43,4,8,5
8/14/16,31,42,4,9,5
8/21/16,33,41,4,9,5
8/28/16,32,40,4,8,5
9/4/16,32,39,4,7,5
9/11/16,30,37,4,7,6
9/18/16,30,37,4,7,6
9/25/16,30,37,4,8,5
10/2/16,30,37,4,6,5
10/9/16,31,38,4,6,5
10/16/16,31,38,4,6,5
10/23/16,31,47,4,6,5
10/30/16,31,50,4,7,5
11/6/16,29,46,4,7,5
11/13/16,35,52,5,8,6
11/20/16,45,64,7,11,4
11/27/16,28,53,4,7,6
12/4/16,30,51,4,7,5
12/11/16,34,50,5,8,5
12/18/16,44,60,6,9,4
12/25/16,36,100,4,9,3
1/1/17,33,48,4,8,5
1/8/17,32,42,5,8,5
1/15/17,31,41,4,7,5
1/22/17,31,40,4,8,6
1/29/17,31,40,4,8,6
2/5/17,31,41,4,7,6
2/12/17,32,40,4,7,6
2/19/17,32,41,4,8,6
2/26/17,31,42,4,8,6
3/5/17,33,42,5,8,6
3/12/17,33,42,5,7,6
3/19/17,31,41,12,8,6
3/26/17,31,43,5,9,6
4/2/17,31,41,4,11,6
4/9/17,34,44,5,20,6
